Index,Name,BrandName,Category/Subcategory,Price,Info,PhotoAdress
0,Leeds 14c,Tommy Hilfiger,Męskie/Półbuty ,"245,00",https://cdn.officeshoes.ws/product_images/2020fw/big/fm0-2995-bds.jpg,"Kod producenta: FM0-2995-BDS Marki: Tommy Hilfiger Płeć: Męskie Typ: Półbuty Kolor:Czarne Style: Street Materiał: Skóra Kolekcja: Jesień Zima 2020 Wygodne markowe buty męskie  Oryginalny design  Wykonane z dbałością o detale  Miejski styl w najlepszym wydaniu Prosimy sprawdzić regulamin i warunki przed złożeniem zamówienia Jeżeli znajdziesz błąd w opisie lub charakterystyce butów, proszę pomóż nam poprawić opis i wyślij do nas maila "
1,Leeds 14c,Tommy Hilfiger,Męskie/Półbuty ,"245,00",https://cdn.officeshoes.ws/product_images/2020fw/big/fm0-2995-bds.jpg,"Kod producenta: FM0-2995-BDS Marki: Tommy Hilfiger Płeć: Męskie Typ: Półbuty Kolor:Czarne Style: Street Materiał: Skóra Kolekcja: Jesień Zima 2020 Wygodne markowe buty męskie  Oryginalny design  Wykonane z dbałością o detale  Miejski styl w najlepszym wydaniu Prosimy sprawdzić regulamin i warunki przed złożeniem zamówienia Jeżeli znajdziesz błąd w opisie lub charakterystyce butów, proszę pomóż nam poprawić opis i wyślij do nas maila "
2,Reiland,Calvin Klein Jeans,Męskie/Półbuty ,"399,00",https://cdn.officeshoes.ws/product_images/2020fw/big/b4s0707-blk.jpg,"Kod producenta: B4S0707-blk Marki: Calvin Klein Jeans Płeć: Męskie Typ: Półbuty Kolor:Czarne Style: Street Materiał: Materiał Tekstylny Kolekcja: Jesień Zima 2020 Wygodne markowe buty męskie  Oryginalny design  Wykonane z dbałością o detale  Miejski styl w najlepszym wydaniu Prosimy sprawdzić regulamin i warunki przed złożeniem zamówienia Jeżeli znajdziesz błąd w opisie lub charakterystyce butów, proszę pomóż nam poprawić opis i wyślij do nas maila "
3,Reiland,Calvin Klein Jeans,Męskie/Półbuty ,"399,00",https://cdn.officeshoes.ws/product_images/2020fw/big/b4s0707-blk.jpg,"Kod producenta: B4S0707-blk Marki: Calvin Klein Jeans Płeć: Męskie Typ: Półbuty Kolor:Czarne Style: Street Materiał: Materiał Tekstylny Kolekcja: Jesień Zima 2020 Wygodne markowe buty męskie  Oryginalny design  Wykonane z dbałością o detale  Miejski styl w najlepszym wydaniu Prosimy sprawdzić regulamin i warunki przed złożeniem zamówienia Jeżeli znajdziesz błąd w opisie lub charakterystyce butów, proszę pomóż nam poprawić opis i wyślij do nas maila "
4,Sprint Trekker Fabric,Timberland,Męskie/Półbuty ,"611,00",https://cdn.officeshoes.ws/product_images/2020fw/big/a26t9-dkg.jpg,"Kod producenta: A26T9-dkg Marki: Timberland Płeć: Męskie Typ: Półbuty Kolor:Szare Style: Buty Za Kostkę Materiał: Materiał Tekstylny Kolekcja: Jesień Zima 2020 Wygodne markowe buty męskie  Oryginalny design  Wykonane z dbałością o detale  Miejski styl w najlepszym wydaniu Prosimy sprawdzić regulamin i warunki przed złożeniem zamówienia Jeżeli znajdziesz błąd w opisie lub charakterystyce butów, proszę pomóż nam poprawić opis i wyślij do nas maila "
5,Sprint Trekker Fabric,Timberland,Męskie/Półbuty ,"611,00",https://cdn.officeshoes.ws/product_images/2020fw/big/a26t9-dkg.jpg,"Kod producenta: A26T9-dkg Marki: Timberland Płeć: Męskie Typ: Półbuty Kolor:Szare Style: Buty Za Kostkę Materiał: Materiał Tekstylny Kolekcja: Jesień Zima 2020 Wygodne markowe buty męskie  Oryginalny design  Wykonane z dbałością o detale  Miejski styl w najlepszym wydaniu Prosimy sprawdzić regulamin i warunki przed złożeniem zamówienia Jeżeli znajdziesz błąd w opisie lub charakterystyce butów, proszę pomóż nam poprawić opis i wyślij do nas maila "
6,Escape Plan,Skechers,Męskie/Półbuty ,"223,00",https://cdn.officeshoes.ws/product_images/2020fw/big/51591-pew.jpg,"Kod producenta: 51591-PEW Marki: Skechers Płeć: Męskie Typ: Półbuty Kolor:Brązowe Style: Street Materiał: Skóra Kolekcja: Jesień Zima 2020 Męskie obuwie w stylu sportowym z kolekcji Skechers. Cholewka w oryginalnej kolorystyce wykonana została z najwyższej jakości materiału syntetycznego. Zastosowana technologia Water Repellent gwarantuje wodoodporność. Obuwie wyposażono w system Air Cooled, co zapewni odpowiednią cyrkulację powietrza wewnątrz. Wkładka wykonana z użyciem technologii Memory Foam, dzięki której idealnie dopasowuje się do stopy oraz zapamiętuje jej kształt, a przy tym nie odkształca się. Wysokogatunkowy materiał użyty przy produkcji podeszwy oraz zastosowanie systemu drenażu All Terrain dba o odprowadzanie nadmiaru wilgoci z wnętrza buta. Podeszwa z bieżnikiem amortyzuje stopę i zapewnia przyczepność do każdego podłoża. Obuwie idealne na deszczową, jesienną aurę, jak i zimowe wyprawy. Prosimy sprawdzić regulamin i warunki przed złożeniem zamówienia Jeżeli znajdziesz błąd w opisie lub charakterystyce butów, proszę pomóż nam poprawić opis i wyślij do nas maila "
7,Escape Plan,Skechers,Męskie/Półbuty ,"223,00",https://cdn.officeshoes.ws/product_images/2020fw/big/51591-pew.jpg,"Kod producenta: 51591-PEW Marki: Skechers Płeć: Męskie Typ: Półbuty Kolor:Brązowe Style: Street Materiał: Skóra Kolekcja: Jesień Zima 2020 Męskie obuwie w stylu sportowym z kolekcji Skechers. Cholewka w oryginalnej kolorystyce wykonana została z najwyższej jakości materiału syntetycznego. Zastosowana technologia Water Repellent gwarantuje wodoodporność. Obuwie wyposażono w system Air Cooled, co zapewni odpowiednią cyrkulację powietrza wewnątrz. Wkładka wykonana z użyciem technologii Memory Foam, dzięki której idealnie dopasowuje się do stopy oraz zapamiętuje jej kształt, a przy tym nie odkształca się. Wysokogatunkowy materiał użyty przy produkcji podeszwy oraz zastosowanie systemu drenażu All Terrain dba o odprowadzanie nadmiaru wilgoci z wnętrza buta. Podeszwa z bieżnikiem amortyzuje stopę i zapewnia przyczepność do każdego podłoża. Obuwie idealne na deszczową, jesienną aurę, jak i zimowe wyprawy. Prosimy sprawdzić regulamin i warunki przed złożeniem zamówienia Jeżeli znajdziesz błąd w opisie lub charakterystyce butów, proszę pomóż nam poprawić opis i wyślij do nas maila "
8,Ct As Boot Hi,Converse,Męskie/Półbuty ,"327,00",https://cdn.officeshoes.ws/product_images/2020fw/big/170038c.jpg,"Kod producenta: 170038C Marki: Converse Płeć: Męskie Typ: Półbuty Kolor:Czarne Style: Buty Za Kostkę Materiał: Skóra Kolekcja: Jesień Zima 2020 Męskie tenisówki z kolekcji jesienno – zimowej marki Converse. Wykonane przy użyciu najwyższej jakości materiałów łączą w sobie ponadczasowy design i niesamowitą wygodę, którą docenili klienci tej marki. Cholewka wykonana została z naturalnej skóry zamszowej. Wśród elementów ozdobnych nie mogło zabraknąć znanego brandingu w postaci gwiazdy. Wnętrze ocieplone zostało materiałem tekstylnym, a sznurowadła zabezpieczone przed zbyt szybkim przemoczeniem. Profil bieżnika w podeszwie zapobiegnie ewentualnym poślizgnięciom, a materiały użyte przy produkcji podeszwy amortyzują wstrząsy. Obuwie będzie świetnym dopełnieniem zarówno zimowych, jak i lekkich, jesiennych stylizacji. Prosimy sprawdzić regulamin i warunki przed złożeniem zamówienia Jeżeli znajdziesz błąd w opisie lub charakterystyce butów, proszę pomóż nam poprawić opis i wyślij do nas maila "
9,Ct As Boot Hi,Converse,Męskie/Półbuty ,"327,00",https://cdn.officeshoes.ws/product_images/2020fw/big/170038c.jpg,"Kod producenta: 170038C Marki: Converse Płeć: Męskie Typ: Półbuty Kolor:Czarne Style: Buty Za Kostkę Materiał: Skóra Kolekcja: Jesień Zima 2020 Męskie tenisówki z kolekcji jesienno – zimowej marki Converse. Wykonane przy użyciu najwyższej jakości materiałów łączą w sobie ponadczasowy design i niesamowitą wygodę, którą docenili klienci tej marki. Cholewka wykonana została z naturalnej skóry zamszowej. Wśród elementów ozdobnych nie mogło zabraknąć znanego brandingu w postaci gwiazdy. Wnętrze ocieplone zostało materiałem tekstylnym, a sznurowadła zabezpieczone przed zbyt szybkim przemoczeniem. Profil bieżnika w podeszwie zapobiegnie ewentualnym poślizgnięciom, a materiały użyte przy produkcji podeszwy amortyzują wstrząsy. Obuwie będzie świetnym dopełnieniem zarówno zimowych, jak i lekkich, jesiennych stylizacji. Prosimy sprawdzić regulamin i warunki przed złożeniem zamówienia Jeżeli znajdziesz błąd w opisie lub charakterystyce butów, proszę pomóż nam poprawić opis i wyślij do nas maila "
